metric,order_year,product_name,totals,sales_rankings
profit,2016,GBC Ibimaster 500 Manual ProClick Binding System,5402.9580000000005,1222
profit,2016,GBC DocuBind TL300 Electric Binding System,1345.485,1221
profit,2016,Atlantic Metals Mobile 4-Shelf Bookcases - Custom Colors,1938.762,1220
profit,2016,Riverside Furniture Oval Coffee Table - Oval End Table - End Table with Drawer,1893.21,1219
profit,2016,Hon Rectangular Conference Tables,796.425,1218
profit,2016,Fellowes PB300 Plastic Comb Binding Machine,310.392,1217
profit,2016,Riverside Palais Royal Lawyers Bookcase - Royale Cherry Finish,11717.034,1216
profit,2016,Bevis Oval Conference Table - Walnut,1252.704,1215
profit,2017,Cubify CubeX 3D Printer Double Head Print,4499.985,1344
profit,2017,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,3965.2999999999997,1343
profit,2017,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,1342
profit,2017,Bush Advantage Collection Racetrack Conference Table,1272.63,1341
profit,2017,GBC ProClick 150 Presentation Binding System,947.94,1340
profit,2017,Swingline SM12-08 MicroCut Jam Free Shredder,449.1,1339
profit,2017,High Speed Automatic Electric Letter Opener,8842.662,1338
profit,2017,BPI Conference Tables,1438.5925,1337
profit,2017,Tenex Chairmat w/ Average Lip - 45 x 53,2058.496,1336
profit,2017,O'Sullivan Plantations 2-Door Library in Landvery Oak,1913.3296,1335
profit,2018,Cubify CubeX 3D Printer Triple Head Print,7999.98,1489
profit,2018,Ibico EPK-21 Electric Binding System,1889.99,1488
profit,2018,Lexmark MX611dhe Monochrome Laser Printer,5609.967000000001,1487
profit,2018,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,7371.742,1486
profit,2018,Martin Yale Chadless Opener Electric Letter Opener,11825.902,1485
profit,2018,Bush Advantage Collection Racetrack Conference Table,2969.4700000000003,1484
profit,2018,GBC Ibimaster 500 Manual ProClick Binding System,760.98,1483
profit,2018,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,3636.468,1482
profit,2018,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1487.5,1481
profit,2018,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,652.995,1480
